id,nombre_remitente,telefono
6301,A. C. LUCHA MONTALBÁN.,NINGUNO
6390,ADY GODOY.,NINGUNO

6140,ALCALDIA  METROPOLITANA  DE CARACAS,NINGUNO

6372,ALCALDÍA BOLIVARIANA DEL MUNICIPIO PÁEZ ,NINGUNO

3359,ALCALDIA DE CARACAS ,NINGUNO

5797,ALCALDIA DE CARACAS  FUNDAPATRIMONIO.  ,NINGUNO

3360,ALCALDIA DE CHACAO  ,NINGUNO

3362,ALCALDIA DE SUCRE,2711067/2711367/0

3365,ALCALDIA DEL ESTADO ARAGUA  MUNICIPIO GIRARDOT,NINGUNO

3367,ALCALDIA DEL MUNICIPIO BARINAS,NINGUNO

6374,ALCALDIA DEL MUNICIPIO BARINASESTADO BARINAS,NINGUNO

6378,ALCALDIA DEL MUNICIPIO ORTIZ  EDO GUÁRICO NINGUNO

3390,ALCALDIA DEL MUNICIPIO VARGAS ,NINGUNO

3397,ALCALDIA MONSEÑOR ITURRIZA  ESTADO FALCON  MUNICIPIO MONSEÑOR ITURRIZA.  ,NINGUNO

6425,ALEXIS AUMAITRE PAEZ,NINGUNO

6426,ALEXIS AUMAITRE PÁEZ,NINGUNO

6069,ANDRES RAFAEL MARÍN FERNANDEZ ,NINGUNO

6163,ANIBAL ACOSTA  ,NINGUNO

6402,ANNY AVENDAÑO  ,NINGUNO

6206,ANTONIO RIVERO BERRIOS  Y/ O  LUIS FRANCISCO VILLAMIZAR. M. ,NINGUNO

6011,ARARARE FILMS C.A.  ,NINGUNO

3411,ASAMBLEA  NACIONAL  ,NINGUNO

6090,ASOCIACIÒN  CIVIL DE VIVIENDA  Y HABITAT  OCV "LA VOZ DEL SOBERANO",NINGUNO

6341,ASOCIACIÓN CIVIL  MUSICAL FRANCISCO DE MIRANDA,NINGUNO

6407,ASOCIACIÓN CIVIL COLECTIVOS ECOLÓGICO SOCIALISTAS  KATAFOS. ,NINGUNO

6369,ASOCIACIÓN COOPERATIVA SERVICIOS LA ORQUÍDEA  R. S.,NINGUNO

6050,ASOCIACIÒN PALMEROS DE CHACAO ,NINGUNO

3508,BANCO CENTRAL DE VENEZUELA,8015111 / 8015274

3509,BANCO DE DESARROLLO DE LA MUJER (BANMUJER),NINGUNO

3510,BANCO DE DESARROLLO ECONOMICO Y SOCIAL DE VENEZUELA (BANDES),NINGUNO

3511,BANCO DE VENEZUELA  ,NINGUNO

3513,BANCO DEL TESORO NINGUNO

3515,BANCO INDUSTRIAL DE VENEZUELA ,NINGUNO

3516,BANCO MERCANTIL,NINGUNO

3517,BANCO MUNDIAL  ,2679943

3519,BANCO PROVINCIAL,NINGUNO

3521,BANESCO NINGUNO

